               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.024935,            0.035342,          0.00078001,              0.9014,             0.93766,             0.91378,             0.55796,            0.034396,             0.06976,          0.00079459,            0.008145,            0.008145,            0.008145
                  62,             0.02518,            0.036039,            0.000733,             0.89186,             0.92299,             0.91023,             0.55783,            0.034536,            0.070205,          0.00069681,           0.0080875,           0.0080875,           0.0080875
                  63,            0.024774,            0.035909,           0.0009211,             0.89742,             0.92065,             0.91021,             0.57064,            0.034664,            0.071177,          0.00073423,           0.0080294,           0.0080294,           0.0080294
                  64,            0.023438,            0.034441,          0.00080852,             0.90354,             0.92821,             0.92979,             0.55497,            0.034297,            0.070575,          0.00087733,           0.0079706,           0.0079706,           0.0079706
                  65,            0.024432,            0.034037,          0.00075098,             0.89805,             0.93684,             0.91027,             0.55061,            0.034915,            0.068777,          0.00087172,           0.0079112,           0.0079112,           0.0079112
                  66,              0.0244,            0.037005,           0.0010061,              0.9102,             0.92752,             0.91976,             0.57864,             0.03431,            0.069037,          0.00076859,           0.0078512,           0.0078512,           0.0078512
                  67,            0.024346,            0.035422,          0.00066618,             0.90049,             0.93595,             0.92783,             0.58832,             0.03407,            0.069441,          0.00072585,           0.0077907,           0.0077907,           0.0077907
                  68,            0.023617,            0.033461,          0.00082051,             0.91947,             0.91777,             0.92324,             0.55713,            0.034381,            0.071274,          0.00081911,           0.0077296,           0.0077296,           0.0077296
                  69,            0.023744,            0.033614,          0.00073639,             0.91147,             0.92786,             0.91876,             0.54777,            0.034905,            0.071307,          0.00073052,           0.0076679,           0.0076679,           0.0076679
                  70,            0.022805,            0.034638,          0.00077106,             0.91117,             0.93467,              0.9135,             0.56181,            0.034468,             0.07457,          0.00079061,           0.0076057,           0.0076057,           0.0076057
